id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32685,2026-05-25T08:04:32.985925+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32684,2026-05-25T08:04:32.865855+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32683,2026-05-25T08:04:26.183468+00:00,OK,general,Regla ejecutada: cierres_mecanicos_puerta_calle,system,system,,1
32682,2026-05-25T08:04:25.942815+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32681,2026-05-25T08:04:25.822663+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32680,2026-05-25T07:58:50.050455+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32679,2026-05-25T07:58:47.008416+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32678,2026-05-25T07:58:46.922786+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32677,2026-05-25T07:58:44.040190+00:00,INFO,general,Modo desactivado por trigger OFF: cierres_mecanicos_puerta_oficina,system,system,,1
32676,2026-05-25T07:58:40.924841+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32675,2026-05-25T07:58:40.844943+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32674,2026-05-25T07:58:40.757959+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32673,2026-05-25T07:58:34.642033+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32672,2026-05-25T07:58:34.522062+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32671,2026-05-25T07:58:25.826330+00:00,OK,general,Regla ejecutada: cierres_mecanicos_puerta_oficina,system,system,,1
32670,2026-05-25T07:58:22.593944+00:00,OK,general,Regla ejecutada: horario_cerrado,system,system,,1
32669,2026-05-25T07:58:18.019270+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32668,2026-05-25T07:58:12.070839+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32667,2026-05-25T07:58:02.746480+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32666,2026-05-25T07:57:47.801241+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32665,2026-05-25T07:57:43.269409+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32664,2026-05-25T07:57:40.034338+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
